"time","USIPPRDTD","USIPMPROG","USIPMCOGG","USIPMDUCG","USIPMNOCG","USIPMBUQG","USIPINTDD","USIPMNEMG","USIPMDUMG","USIPMNDMG","USIPMAN.G","USIPMFG.G","USIPNALGG","USIPMIN.G","USIPUTL.G","USIPTOT.G","USMBS076Q","USCNFBUSQ","USPMCHBB","USNAPMPR","USPERINCD","USPERXTRD","USEMPTOTO","USUN.TOTQ","USUNWKMDO","USUNWK5.O","USUNWK14O","USUNPLNGE","USUNWK26O","USCOINARB","USEMIP..O","USEMPG..O","USEW23..O","USEMPMANO","USEMIMD.O","USEMPP..O","USEMIT..O","USEMIR..O","USEM42..O","USEMPS..O","USEMIG..O","USHKIM..O","USHXPMANO","USNAPMEM","USN4BXR3E","USN4DCPHE","USN0SVK4E","USNY1H9FE","USHOUSE.O","USHBRN..O","USHBRM..O","USHBRS..O","USHBRW..O","USHOUSATE","USIP321HG","USNAPMNO","USNAPMDL","SWXRUSD.","JPXRUSD.","UKXRUSD.","CNXRUSD.","S.PCOMP.PI.","S.PCOMP.DY.","S.PCOMP.PE.","NYSEALL","DJINDUS","NASCOMP","NASA100","FEDFUNDS","TB3MS","TB6MS","GS1","GS5","GS10","AAA","BAA","M1SL","M2SL","MABMM301USM189S","AMBSL","BOGMBASE","EXCSRESNS","BUSLOANS","TOTALSL","PPIFGS","PPIFCF","PPIITM","PPICRM","PCEPI","CPIAUCSL","CPILFESL","CPIAPPSL","CPITRNSL","CPIMEDSL","CUSR0000SAC","CUSR0000SAD","CUSR0000SAS","CES2000000008","CES3000000008","TB3MS.FEDFUNDS","TB6MS.FEDFUNDS","GS1.FEDFUNDS","GS5.FEDFUNDS","GS10.FEDFUNDS","AAA.FEDFUNDS","BAA.FEDFUNDS"
1969-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.51,52,50.3,50.3,NA,NA,NA,3.5,4.6,1585,883,413,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6,3.4,49.6,NA,NA,NA,NA,7.19067603433221,5.14166355650266,5.62762111369064,6.32076829425058,5.77455154554441,7.05185562295589,NA,48,66.8,NA,NA,NA,NA,NA,3.43,15.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-01-01,NA,-0.0155405212902369,-0.0169120379602092,-0.0539242176234391,-0.00203156695746065,-0.0140394519210254,NA,-0.0287607078954042,-0.0402700902250537,-0.00756706650621242,NA,NA,NA,NA,NA,-0.0186902260220729,83.65,48.7,44.7,48.1,0.00209446091855447,0.0019579751150971,0.000507872027167622,3.9,4.6,1800,933,431,288,-0.000898775478994196,-0.00141345186717778,-0.00692833291046568,-0.021992718015035,-0.00330542987021154,-0.00648631711223935,0.00208817750206869,0.00134880934799675,4.04048566693405e-05,0.00202640265521126,0.00194202899703022,0.00152164366844509,40.4,3.3,46.3,0.00593493911748721,-0.0123955934004618,0.0127679830952694,0.00629945388277431,6.98933526597456,4.98360662170834,5.48063892334199,6.16541785423142,5.40717177146012,6.96790920180188,NA,45.8,57.9,0.00125269694160157,0.00245828845394414,0.0013339449224683,-0.00130414550389027,-0.0125217525554993,3.48,15.22,-0.0113873999593972,-0.00583033917678488,NA,NA,8.98,7.87,7.78,8.1,8.17,7.79,7.91,8.86,0.01121689400245,0.0028874754669177,0.00288747546691681,0.00304232932430271,-0.00462292694035504,NA,-0.00281828198177525,0.00507376386144465,0.00512821636691951,0.00677968698537912,0.00860837453660013,0,0.00352459568868202,0.00529101763441586,0.0050633019565467,0.00344234419097322,0.0109891215755948,0.00611622701743597,0.00488998529419193,0.00232828975959132,0.0089153636579522,0.00662985853866949,0.00316957476127899,-1.11,-1.2,-0.880000000000001,-0.81,-1.19,-1.07,-0.120000000000001
1970-02-01,NA,0.00268471126717174,0.0098215953115619,0.0144765367015469,0.00791889837070414,0.00423314667042618,NA,-0.00877596090263655,-0.0153911878294433,0.00320851328032523,NA,NA,NA,NA,NA,-0.000660329290579575,83.34,47.4,43.2,45.9,0.00195958101557814,0.00130319016686897,-0.00104141540292702,4.2,4.5,1950,1048,470,309,0.00179674388594897,0.0018047780425352,0.00092362507390753,0.0151326973488715,-0.00342531257833301,-0.00428801800503642,0.00236134178312319,0.00148867570823796,0.00226007037843878,0.00102631780872997,0.00220602726387575,0.0017590154051792,40.2,3.2,43.3,0.00433455174467756,0.0171637431950868,-0.00641197809684968,0.00830341595661377,7.17395831975679,5.45958551414416,5.44241771052179,6.27476202124194,5.73009978297357,7.01929665371504,NA,45.8,57.7,-0.00339054225088264,-0.000154339930086955,0.00174810666342995,0.000279602965612955,-0.071004452343046,3.71,14.37,-0.0726295041863905,-0.0697463877830211,NA,NA,8.98,7.13,7.22,7.59,7.82,7.24,7.93,8.78,-0.00583659244445123,-0.00561273690495767,-0.00561273690495767,0.00300105342269852,-0.0153133865897424,NA,-0.00568510332427508,0.0030328835385145,-0.00256082086167364,-0.00677968698537912,0,0.00284495213223135,0.00401295627227105,0.00526317004427446,0.00503779402995708,0.00514139950041859,0.00272851465320434,0.00607904607638243,0.0048661896511728,0.00464037955650243,0.00589972212718859,0.00439561147303813,0.00315956029036846,-1.85,-1.76,-1.39,-1.16,-1.74,-1.05,-0.200000000000001
1970-03-01,NA,-0.000534736871991015,-0.00119848493162777,0.00945551276351564,-0.00550101235390787,0.00202073189294261,NA,-0.004581748137237,-0.000415372522779567,-0.0115429518903229,NA,NA,NA,NA,NA,-0.00129815724873517,82.97,46.9,41.4,47.3,0.00333550797845383,0.00313767871515047,0.00209442768599111,4.4,4.6,1978,1133,534,353,0.00207346875822267,0.00107110989115711,-0.00039573486280986,0.00405933422369209,-5.44647477056515e-05,0.00169953974447523,0.00199584265835995,0.0019814598514678,0.0031260716815158,0.0010545434218816,0.00322809750771214,0.00676727235284602,40.1,3.1,44.8,-0.00505310235642265,-0.0287491341310826,0.00439158102704917,-0.00509895483764122,7.18462915271731,5.52146091786225,5.63478960316925,6.25382881157547,5.59842195899838,7.03174125876313,NA,45.2,49.3,0.00243956394733758,-0.000405535424182979,0.000498898276676485,-0.000372821329698153,0.0451461595251423,3.59,14.79,0.0462975130904475,0.0442735093470947,NA,NA,7.76,6.63,6.58,6.97,7.21,7.07,7.84,8.63,0.00340881752050315,0.00170415855830441,0.00170415855830441,0.00200104120878919,0.000518227672996474,NA,-0.0026763555602658,0.000692475440115636,0.00256082086167364,0.00226500663085227,-0.00286123228103197,0.0112995552539337,0.0024545466868906,0.0052356140539449,0.00750942202213167,0,-0.00272851465320434,0.00604231445596293,0,0.00231213975837941,0.0116960397631911,0.00873367996875452,0.00628932890756406,-1.13,-1.18,-0.79,-0.55,-0.69,0.0800000000000001,0.870000000000001
1970-04-01,NA,0.000336618991203963,0.0040415554711446,-0.000460760386470138,0.0057881329465288,-0.000460206525797258,NA,-0.009349113771282,-0.0187774831837437,0.00732524707626725,NA,NA,NA,NA,NA,-0.00257485632209153,82.5,45,38.9,45.5,0.0121530171365496,-0.00344915668060253,0.000849213894488443,4.6,4.1,2139,1106,602,400,-0.00145658289058126,-0.0035066253206768,-0.00821377989510275,-0.00939268019905448,-0.00836824967051797,-0.0113249457728095,-0.000554001288373129,-0.00169815366641579,-0.00240070392857561,0.000204921032933569,0.00168187917812723,0.00806073591677325,39.8,3,40.7,0.000786957083023676,0.0151912049595371,-0.00800129968224805,0.00298621701825352,7.1420365747068,5.35185813347607,5.57972982598622,6.27852142416584,5.54517744447956,7.10987946307227,NA,45.7,48.7,-0.00181167885293299,0.00142507985331441,0.000166244129886972,9.32183640851986e-05,0.00400490022445954,3.56,16.32,-0.00181056969230298,0.015023147577228,NA,NA,8.1,6.51,6.6,7.06,7.5,7.39,7.83,8.7,0.0048496700288112,0.00187122619880942,0.00187122619880853,0.0084243544988718,0.0134329393363863,NA,0.00249941624100192,0.000737956517435023,0,-0.00453515516539138,0.00571430126343841,-0.00281294137661492,0.00507178554006726,0.00520834510713852,0.00745345065458114,0.00341297259623996,0.0135687292060691,0.00899556290857761,0.00484262447578798,0.00460830308619409,0.00579711768432611,0.0129591446425055,0,-1.59,-1.5,-1.04,-0.6,-0.71,-0.27,0.6
1970-05-01,NA,0.000303945596078936,0.00541251028632583,0.000986200995953812,0.00711988719699841,-0.00101896023070314,NA,-0.0056694587229269,-0.0056859531170157,-0.00537345002733458,NA,NA,NA,NA,NA,-0.00116510072456633,82.15,47.2,35.2,45.2,-0.0067823095392896,0.00104731317157558,-0.00464780447335755,4.8,4.7,2109,1241,591,360,-0.00315854015283179,-0.00321098842901435,-0.0096240272318493,-0.012025461372156,-0.00982456296176437,-0.0108148461725808,0.000775515895398371,0.00049559277448985,0.000791930405206642,0.000673016455783326,-0.000184458359047568,-0.0029164880957353,39.8,3,40.8,0.00688506077125162,0.0113445743660803,0.00893984885049726,0.00415196776653204,7.16239749735572,5.23110861685459,5.55295958492162,6.35088571671474,5.605802066296,7.19142933003638,NA,45.3,67.2,0.00197410503639062,0.00211653696496583,-0.000956281385890323,0,-0.100720592993439,3.87,14.66,-0.112931588187383,-0.0766070812632016,NA,NA,7.94,6.84,7.02,7.75,7.97,7.91,8.11,8.98,0.00241604369760484,0.00525469469115869,0.00525469469115691,0.00630747366479678,0.00464226067930973,NA,0.00316692157108545,0.00124012943443219,0,-0.0114286958236227,0.00284495213223135,-0.0141846349919565,0.00315685298698298,0.00259403517704637,0.00247218914538871,0.00170212807053005,0.00269179166571165,0.00595239852729534,0.00241254640538369,0.00687287928776215,0.00576370471674981,-0.00430108189939071,0.00936044275956371,-1.1,-0.920000000000001,-0.19,0.0299999999999994,-0.0300000000000002,0.169999999999999,1.04
1970-06-01,NA,-0.00234711920221287,0.00250279964801203,0.0192133513911936,-0.00422532443722012,-0.00608930133179664,NA,-0.0034425089420882,-0.00108648580427584,-0.00728764724839515,NA,NA,NA,NA,NA,-0.00323968333399272,81.63,51.1,43.5,49.7,-0.00155376041202793,-0.0018972919732807,-0.00192384931006906,4.9,4.9,2100,1290,657,433,-0.00132252819096657,-0.00159223434342337,-0.00426229417965551,-0.000636942696694121,-0.00550628494302075,-0.00927165039014888,5.53709856170315e-05,0.000778292748099929,6.70839287284508e-05,-0.00120004112102379,2.04970535477855e-05,-7.89421748983443e-05,39.8,2.9,41.4,0.00339098324255804,0.00675881717713978,0.00185045052381527,0.00355007524690309,7.23345541862144,5.24174701505964,5.72031177660741,6.37672694789863,5.71373280550937,7.18690102041163,NA,53.2,66.1,0.000927643851308391,9.81142552438641e-05,-0.00258236638154485,-0.0325909860176432,-0.0452111149244629,4.35,13.11,-0.0508740381775015,-0.0322329305399984,NA,NA,7.6,6.68,6.86,7.55,7.85,7.84,8.48,9.25,0.00192864090640565,0.00623580010044034,0.00623580010044122,0.0041829879677735,0.00326931759329518,NA,0.00774266767853771,0.00505512109037376,0.00255427980509682,0.00458716400690617,0.00283688133519977,0,0.0026081496932493,0.00516797015844261,0.00738010729762273,0.00339558900113879,0.00536194314138516,0.00591717702808836,0.0024067400305654,0.00455581653586057,0.00573067470898492,0.012848142477849,0.00619197024792117,-0.92,-0.739999999999999,-0.0499999999999998,0.25,0.24,0.880000000000001,1.65
1970-07-01,NA,0.000869945873552158,0.00239680880359572,0.00178379219637748,0.00264894424583906,-0.00259951405523351,NA,0.00735263562136623,0.0012156368753331,0.0178892976331673,NA,NA,NA,NA,NA,0.0024506783558027,81.58,49.5,46,54.5,0.00771905576612575,0.00756766473763903,0.00398373941474794,5,5.1,2132,1329,662,428,0.000337833085518824,-0.000102811905708933,-0.00207039411430898,0.00381558491532097,-0.0029603171840904,-0.0062910745002327,0.00110677635049328,0.00261345725302142,0.00124694146817639,0.00519952097386422,0.00143375073205831,0.00236555858615972,40,3,40.6,-0.000236994905718824,-0.00870793900938738,-0.00100891214208065,0.00268004558435875,7.32448997934853,5.48479693349065,5.75890177387728,6.45519856334012,5.78074351579233,7.18841273649695,NA,52.5,49.8,-0.00246014002975103,0.00141823609936687,-0.00296544020174117,-0.00618239990831747,-0.063648201591036,4.32,14.1,-0.0686117376090651,-0.0325064386131011,NA,NA,7.21,6.45,6.51,7.1,7.59,7.46,8.44,9.4,0.00192492840958458,0.00653104557099748,0.00653104557099837,0.00547740770681493,0.0136899981277612,NA,0.00784292883179027,0.00518449306620283,0,0.00228571528085597,0.00564973254211898,0.00285306898240645,0.00363106977458205,0.00257400399517271,0.0024479816386398,0.00169348050633289,0.00533334597536239,0.00588236990306656,0.00240096153753822,0.00227014853453911,0.0056980211146378,0.0126851595273156,0.00308166653740805,-0.76,-0.7,-0.11,0.38,0.25,1.23,2.19
1970-08-01,NA,-0.0107532911901993,-0.0171629343197308,-0.0309312828919976,-0.0115979215746624,-0.00275192968624527,NA,0.00570485848732272,0.017979556936305,-0.0155324540340178,NA,NA,NA,NA,NA,-0.00178486213376194,81.18,47.3,46.8,49.7,0.00287614794708624,0.00233214958398342,-0.0012964730128644,5.1,5.4,2182,1348,705,454,-0.00169030789755986,-0.00229889102600289,-0.00406321100779117,0.000317309220495332,-0.00549698489851735,-0.00521076828042943,-0.00121752138784359,-0.000776260580245491,-0.000321642523914534,-0.0037947386304058,-0.000614212905496458,0.00110201522487685,39.8,2.9,40.1,0.00418990307161993,0.00777379601759032,0.00271214269381215,0.00424585469206873,7.24351297466548,5.21493575760899,5.62762111369064,6.43294009273918,5.74939298590825,7.23993259132047,NA,51.8,46.1,-0.000511354402979558,-0.00324021525658313,-0.00108813938919539,-0.0103244318279644,0.0530578921000497,4.04,15.07,0.0536911032550549,0.0500884504204073,NA,NA,6.61,6.41,6.55,6.98,7.57,7.53,8.13,9.44,0.00909314712526932,0.00963462602298915,0.00963462602299003,0.00723102681919396,0.00341898186263911,NA,0.00798921266835073,0.00252036827559809,0,-0.0114811823739562,0,-0.0114614435190066,0.00263657844613707,0.00256739550524587,0.00487805845343336,0.00337838159162729,-0.00266311741948355,0.00584796988242298,0.00239521072595439,0.00452489459828964,0.00566573753567745,0.0145987994211527,0.00307219903696998,-0.2,-0.0600000000000005,0.37,0.96,0.92,1.52,2.83
1970-09-01,NA,-0.00684637797338361,-0.00381145670817107,-0.0269849384847305,0.00530847570517023,-0.0215777668237234,NA,-0.00986755696318298,-0.0219141830834557,0.0107429961287893,NA,NA,NA,NA,NA,-0.00691676359221738,80.37,44.1,41.1,45.1,0.00166540732070786,-0.000140337089918674,-0.0016038495819739,5.4,5.2,2235,1448,788,507,0.000211444803122518,-0.00025766776461289,-0.00530697727979224,-0.00956334990239149,-0.00490542552835294,-0.00580091447056397,0.00282017439736038,0.00056461290228782,0.00246328625030756,0.000789323707536482,0.00269971939651725,0.00235737968671224,39.6,2.7,39.5,0.00491087431616455,-0.00334336653797429,0.00647452478541544,0.00613143590684473,7.3356339819272,5.43372200355424,5.61312810638807,6.50279004591562,5.89715386763674,7.26262860097424,NA,44.2,46.5,0.00106889751085726,-0.000746935337391896,-0.00117316810706924,-0.00539931611604433,0.049766551736881,3.88,15.68,0.0495809226511241,0.0475273596532482,NA,NA,6.29,6.12,6.46,6.73,7.29,7.39,8.09,9.39,0.00901120634071884,0.0103610827394425,0.0103610827394398,0.00963747696726536,0.00582497456748499,NA,0.0090632235248389,0.00510429961931358,0.0101523714640179,0.0183071474443559,0.00281294137661492,0.0227930095285567,0.00449739152799333,0.00511510066677046,0.00485437846479764,0.0050462680676242,0.00531916147759981,0.00581396986542027,0.00477327875265798,0.00450451212110492,0.00563381771825622,-0.00207253960197229,0.00916036939866438,-0.17,0.17,0.44,1,1.1,1.8,3.1
